id,transcription
43,WHOSE FEET ARE AS THE FEET OF HEARTS AND UNDERNEATH THE EVERLASTING ARMS
44,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED
45,SOON THE WHOLE BRIDGE WAS TREMBLING AND RESOUNDING
46,THE UNCOUTH FACES PASSED HIM TOO BY TWO STAINED YELLOW OR READ OR LIVE IT BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE
47,ANDREW WITH HIMSELF HE TRIED TO HIDE HIS FACE FROM THEIR EYES BY GAZING DOWN SIDEWAYS INTO THE SHALLOW SWIRLING WATER UNDER THE BRIDGE BUT HE STILL SAW A REFLECTION THEIR INN OF THEIR TOP HEAVY SILKATS AND HUMBLED TAPE LIKE COLLARS AND LOOSELY HANGING CLARICAL CLOTHES BROTHER HICKY
48,BROTHER MACHARDLE BROTHER KILF
49,THEIR PIETY WOULD BE LIKE THEIR NAMES LIKE THEIR FACES LIKE THEIR CLOTHES AND WAS IDLE FOR HIM TO TELL HIMSELF THAT THEIR HUMBLE AND CONTRITE HEARTS IT MIGHT BE PAID OF FAR RICHARD TRIBUTE OF DEVOTION THAN HIS HAD EVER BEEN A GIVEN TEN FOLD MORE ACCEPTABLE THAN HIS ELABORATE ADORATION
50,IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BEAT AND AND BEGGARS WEEDS THAT THEY WOULD BE GENEROUS TOWARDS HIM LOVING HIM AS THEMSELVES
51,IDLEN IN BITTERING FINALLY TO ARGUE AGAINST HIS OWN DISPASSIONATE SERTITUDE THAT THE COMMANDMENT OF LOVE BADES NOT TO LOVE OUR NEIGHBOUR AS OURSELVES WITH THE SAME A MOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LAW
52,THE PHRASE AND THE DAY AND THE SCENE HARMONIZED IN A CORD
53,WORDS WAS AT THEIR COLORS
54,THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NO MADS ON THE MARCH VOYAGING HIGH OVER IRELAND WESTWARD BOUND
55,THE EUROPE THEY HAD COME FROM LAY OUT THEIR BEYOND THE IROCEE EUROPE OF STRANGE TONGUES AND VALLEYED AND WOULD BEGAR TO AND CITADEL AND OF ENTRENCHED AND MARFULED RACES
56,AGAIN
57,A VOICE FROM BEYOND THE WORLD OF HIS CALLING
58,ALLOWS STUFF AND US HERE COMES THE DEADLESS
59,THEIR DIVING STONE POYSED ON ITS RUDE SUPPORTS AND ROCKING UNDER THEIR PLUNGES AND THE RUFF HUME STONES OF THE SLOPING BREAK WATER OVER WHICH THEY SCRAMBLED IN THEIR HORSE PLAY GLEAMED WITH COLD WEATH LUSTER
60,HE STOOD STILL INDEFERENCE TO THEIR CALLS AND PARRIED THEIR BANTER WITH EASY WORDS
61,IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAYING TO SEE THE SCIENCE OF ATOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS
62,STEP THE NOSE DEAD LOSE
63,A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DAINS HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZE WRAPPED CITY
64,YOU WILL FIND ME CONTINUALLY SPEAKING OF FORMEN TITION WHOLE BIND TURNER AND TIN CUT OUT IN ALMOST THE SAME CHARMS
65,THEY UNITE EVERY QUALITY AND SOMETIMES YOU A FINE ME REFRIEND TO THEM AS COLORISTS SOMETIMES AS CURESCURESTS
66,BY BEING STUDIOUS OF COLOR THEY ARE STUDIOUS OF DIVISION AND WHILE THE CURAS SCURESS DEVOTES HIMSELF TO THE REPRESENTATION OF DEGREES OF FORCE IN ONE THING ON SEPARATED LIGHT THE COLORESTS HAVE FOR THEIR FUNCTION THE ATTAINMENT OF BEAUTY BY RANGEMENT OF THE DIVISIONS OF LIGHT
67,MY FIRST IMPRINCIPLE REASON WAS THAT THEY INFORCED BEYOND ALL RESISTANCE ON ANY STUDENT WHOM I HAD ATTEMPT THE COPY THEM THIS METHOD OF LAYING PORTIONS OF DISTINCT HUGH SIDE BY SIGHED
68,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAD BEEN LAID AND LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTAL IS HARD AT THE EDGE
69,DOES THE HEAD OF A PARENT WITH A LITTLE FLOWER IN HIS BEAK FROM A PICTURE OF CARPATIOUS ONE OF HIS SERIES OF THE LIFE OF SAINT GEORGE
70,THEN HE COMES TO THE BEAK OF IN
71,THE BROWN GROUND BENEATH IS LEFT FOR THE MOST PART ONE TOUCH A BLACK IS PUT FOR THE HOLLOW TO DELICATE LINES OF DARK GRAYED FIND THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS HE INNER EDGE OF THE MANDABLE
72,FOR BELIEVE ME THE FONAPHY OF ART CAN ONLY RATIFY THERE OPINION THAT THE BEAUTY OF A COCKROB IN IS TO BE RED AND OF A GRASS PLOT TO BE GREEN AND THE BEST SKILL VART IS AN INSTANTLY SEIZING ON THE MENAFOLD DELICIOUSNESS OF LIGHT WHICH YOU CAN ONLY SEIZE BY PRECISION OF INSTANTANEOUS TOUCH
73,NOW YOU WILL SEE IN THESE STUDIES THAT THE MOMENT THE WHITE IS INCLOSED PROPERLY AND HARMONIZED WITH THE OTHER HUES IT BECOME SOMEHOW MORE PRECIOUS AND PEARLY THAN THE WHITE PAPER AND THAT I AM NOT AFRAID TO LEAVE A WHOLE FIELD OF UNTREATED WHITE PAPER ALL ROUND IT BEING SURE THAT EVEN THE LITTLE DIAMONDS AND THE ROUND WINDOW WILL TELL IS JEWELS IT THERE GREDATED JUSTLY
74,BUT IN THIS BEN YET COPIED FROM TURNER YOU HAVE THE TWO PRINCIPLES BROUGHT OUT PERFECTLY
75,THEY ARE BEYOND ALL OTHER WORKS THAN I KNOW EXISTING THE PENANT FOR THEIR AFFECT ON LOW SUBDUED TONES THEIR FAVORITE CHOICE IN TIME OF DAYBING EITHER DAWN OR TWILIPE AND EVEN THEIR BRIDE A SUNSETS PRODUCED CHIEFLY OUT OF GRAY PAPER
76,AND MAY BE THAT A GREAT COLORLESS WILL USE HIS UTMOST FORCE OF COLOR AS A SINGER HAS FULL POWER OF VOICE BUT LOUD OR LOW THE VIRTUES IN BOTH CASES ALWAYS IN REFINEMENT NEVER IN LOUDNESS
77,IT MUST REMEMBER BE ONE OR THE OTHER
78,DO NOT THEREFORE THINK THAT THE GOTHIC SCHOOL IS NEASY ONE
79,THE LOVE THAT SCHOOLS THAT EVERYTHING SHALL BE SEEN CLEARLY WHAT LEAST ONLY IN SUCH MISTER FAINTNESS IS SHALL BE DELIGHTFUL AND I HAVE NO DOUBT THAT THE BEST INTRODUCTION TO IT WOULD BE THE ELEMENTARY PRACTICE OF PAINTING EVERY STUDY ON A GOLDEN GROUND
80,THIS IT ONCE COMPELS YOU TO UNDERSTAND THAT THE WORK IS TO BE IMAGINATIVE INDECRATIVE THAT IT REPRESENTS BEAUTIFUL THINGS IN THE CLEAREST WAY BUT NOT UNDER EXISTING CONDITIONS AND THAT IN FACT YOUR PRODUCING JEWELLERS WORK RATHER THAN TICTURES
81,THAT A STYLES WERE STRANGER SEVERE DOES NOT MEAN THAT IT IS ALSO ARENEUS
82,IN ALL EARLY GOTHIC ARTING DEED YOU WILL FIND FAILURE OF THIS KIND ESPECIALLY DISTORITION AND REGIDITY WHICH ARE IN MANY RESPECTS PAINFULLY TO BE COMPARED WITH THE SPLENDID REPOSE OF CLASSIC ART
83,THE LARGE LETTER CONTAINS INDEED ENTIRELY FEBRUANT ILL DRAWN FIGURES THAT IS MERELY CHILDISH AND FAILING WORK OF IN A FEAR HAND IT IS NOT CHARACTERISTIC OF GOTHIC OR ANY OTHER SCHOOL
84,BUT OBSERVE YOU CAN ONLY DO THIS ON ONE CONDITION THAT OF STRIVING ALSO TO CREATE IN REALITY THE BEAUTY WHICH YOU SEEK IN IMAGINATION
85,IT WILL BE WHOLLY IMPOSSIBLE FOR YOU TO RETAIN THE TRANQUILLITY OF TEMPERANCE PHILICITY OF FAITH NECESSARY FOR NOBLE PUREST PAINTING UNLESS YOU ARE ACTIVELY ENGAGED IN PROMOTING THE FELISTY AND PEACE OF PRACTICAL LIFE
86,YOU MUST LOOK AT HIM IN THE FACE FIGHT HIM CONQUER HIM WITH WHAT SCAVE YOU MAY YOU NEED NOT THINK TO KEEP OUT OF THE WAY OF HIM
87,THE COLOREST SAYS FIRST OF ALL AS MIGHT DELICIOUS PARKET WAS RUBY SO THIS NASTY VIPER SHALL BE BLACK AND THEN IS THE QUESTION CAN I ROUND HIM OFF EVEN THOUGH HE HAS BLACK AND MAKE HIM SLIMY AND YET SPRINGING AND CLOSE DOWN CLOTTED LIKE A POOL OF BLACK BLACK BLACK BLACK BLACK BLACK BLACK BLACK BLACK BLACK BLACK BLOOD ON THE EARTH ALL ALL SAME
88,NOTHING WILL BE MORE PRECISE TO YOU I THINK IN THE PRACTICAL STELL YOU OF ART THAN THE CONVICTION WHICH WILL FORCE ITSELF ON YOU MORE EVERY HOUR OF THE WAY ALL THINGS ARE BOUND TOGETHER LITTLE HUNGRATE IN SPIRIT AND A MATTER
89,YOU KNOW HAVE JUST BEEN TELL YOU HOW THE SCHOOL MATERIALISM IN CLAY AND VOLVED ITSELF AT LAST IN CLOUD AND FIRE
90,HERE IS NEQUALLY TIFFICULT GREEK SCHOOL AND SCAPE BY WILSON LOST HOLY AND GOLDEN MIST THE TREES SO SLIGHTLY DRAWN THAT YOU DON'T KNOW IF THEY ARE TREES WERE TOWERS AND NO CARE FOR COLLOUR WHAT SO EVER PERFECTLY DECEPT OF IN MARVELOUS AFFECT OF SUNSHINE THROUGH THE MIST A POLLOW IN THE PIPHAN
91,NOW HERE IS RAPHILE EXACTLY BETWEEN THE TWO TREES STILL DRAWN LEIF BY LEAF WHOLLY FORMER THE BEAUTIFUL MIST COMING GRADUALLY INTO THE DISTANCE
92,WHILE THEN LAST HE WAS TERMS GREEK SCHOOL OF THE HIGHEST CLASS AND YOU DEFINE HIS ART ABSOLUTELY AS FIRST THE DISPLAYING INTENSELY AND WITH THE STERNEST INTELLECT OF NATURAL FORM AS IT IS AND THEN THE INVELOPMENT OF IT WITH CLOUD AND FIRE
93,ONLY THERE ARE TWO SORTS OF CLOUD AND FAR
94,HE KNOWS IN BATH
95,THERE'S ONE IN THERE'S ANOTHER THE DUDLEY AND THE FLINT
96,IT IS ONLY UP PENCIL OUTLINE BY EDWARD BURN JOHNS IN ILLUSTRATION IN THE STORY OF PSYCHE IT IS THE INTRODUCTION OF PSYCHE AFTER ALL HER TROUBLES INTO HEAVEN
97,EVERY PLANT IN THE GRASS IS SET FORMALLY GROWS PERFECTLY AND MAY BE REALIZED COMPLETELY
98,EXQUISITE ORDER AND UNIVERSAL WITH THE TURNAL LIFE AND LIGHT THIS IS THE FAITH AND EFFORT OF THE SCHOOLS OF CRYSTAL AND YOU MAY DESCRIBE AND COMPLETE THERE WORK QUITE LITERALLY BY TAKING ANY VERSES OF CHOSER IN HIS TENDERMOOD AND OBSERVING HOW HE INSISTS ON THE CLEARNESS FIRST AND THEN ON THE OARER
99,THUS IN CHASSER'S DREAM
100,IN BOTH THESE HIGH MYTHICAL SUBJECTS THE SURROUNDING NATURE THOSE SUFFERING IT STILL DIGNIFY AND BEAUTIFY AND BEAUTIFUL
101,EVERY LINE IN WHICH THE MASTER TRACES IT EVEN WERE SEEMINGLY NEGLIGION IS LOVELY AND SET DOWN WITH A MEDITATE OF CALMNESS WHICH MAKES THESE TWO ETCHINGS CAPABLE OF BEING PLACED BESIDE THE MOST TRANQUIL WORK OF WHOLE BINE OR DEAR
102,BUT NOW HERE'S A SUBJECT OF WHICH YOU WILL WONDER AT FIRST WHY TURN A DREW IT AT ALL
103,IT HAS NO BEAUTY WHAT SO EVER NO SPECIALTY OF PICTURESQUENESS AND ALL ITS LINES ARE CRAMPED AND POOR
104,THE CRANTNESS IN THE POVERTY ARE ALL INTENDED
105,IT IS A GLEANER BRINGING DOWN HER ONE SHIEF OF CORN TO AN OLD WATER MILL ITSELF MOSSY AND RENT SCARCELY ABLE TO GET ITS STONES TO TURN
106,THE SCENE IS ABSOLUTELY ARCADIAN
107,SEE THAT YOUR LIES BE AND NOTHING WORSE THAN A BOY'S CLIMBING FOR HIS ENTANGLED KIPE
108,IT WILL BE WELL FOR YOU YOU JOIN NOT WITH THOSE WHO INSTEAD OF KITES FLY VALCANS WHO INSTEAD OF OBEYING THE LAST WORDS OF THE GREAT CLOUD SHEPHERD TO FEED HIS SHEEP LIVED THE LIVES HOW MUCH LESS THAN VANITY OF THE WHARWOOL FROM THE GUEREGO
109,ALSO A POPULAR CONDRIVANCE WHEREBY LOVE MAKING MAY BE SUSPENDED AND BUT NOT STOPPED DURING THE PICKNEXIES AND
110,HURRANG THE TIRESOME PRODUCT OF A TIRELESS TONGUE
111,ANGOR HANG PAINFUL TO HEAR
112,HAY FEVER A HEART TRERBLE CAUSED BY FALLING AND LOVE WITH A GRASS WE DO
113,HEAVEN AGGRED PLACE TO BE RAISED TO
114,HEDGE A FENCE
115,HEREDITY THE CAUSE OF ALL OUR FAULTS
116,HORSE SENSE A DEGREE OF WISDOM THAT KEEPS ONE FROM BETTING ON THE RACES
117,HOSE MAN'S EXCUSE FOR WETTING THE WALK
118,HOW TELL A PLACE WHERE A GUEST OFTEN GIVES UP GOOD DOLLARS FOR POOR QUARTERS
119,HOW SCLEANING A DOMESTIC UP HEVIL THAT MAKES IT EASY FOR THE GOVERNMENT TO ENLIST ALL THE SOLDIERS IT NEEDS
120,HUSBAND THE NEXT THING TO A WIFE
121,HOSSEY WOMAN AND BOND TIE
122,TIDE TO A WOMAN
123,HYBOCRET A HORSE DEALER
124,THOSE PRETTY WRONGS THAT LIBERTY CONVITS WHEN I AM SOME TIME ABSENT FROM THY HEART THY BEAUTY AND I YEARS FULL WELL DEFITS FOR STILL TEMPTATION FOLLOWS WHERE THOU ART
125,I ME
126,NO MATTER THEN ALTHOUGH MY FOOTDED STAND UPON THE FATHEST EARTH REMOVED FROM THEE FOR NIMBLE THOUGHT CAN JUMP BOTH SEE AND LAND AS SOON AS THINK THE PLACE WHERE HE WOULD BE BUT ARE
127,THOUGHT KILLS ME THAT I AM NOT THOUGHT TO LEAP LARGE LENGTHS OF MILES WHEN NOW ART GONE BUT THAT SO MUCH OF EARTH AND WATER ROUGHT I MUST A TEND TIMES LEASURE WITH MY MOON RECEIVING NOT BY ELEMENTS SO SLOW BUT HEAVY TEARS BADGES OF EITHERS WELL
128,MY HEART OFF PLEED THAT THOU IN HIM DOST LIE A CLOSET NEVER PIERCED WITH CRYSTAL EYES BUT THE DEFENDANT DOTH THAT PLEAD NIGH AND SAYS IN HIM THY FAIR APPARENCE LIES
129,YOU ARE MY ALL THE WORLD AND I MUST STRIVE TO KNOW MY SHAMES AND PRAISES FROM YOUR TONGUE NONE ELSE TO ME NOR I TO NONE ALIVE THAT MY STEELED SENSE OR CHANGES RIGHT OR WRONG
130,OH TIS THE FIRST TIS FIRST TIS FIRST TIS FIRST TIS FIRST TIS FIRST AND MY GREAT MIND MOST KINGLY DRINKS IT UP MINE I WELL KNOWS WHAT WITH HIS GREEN AND TO HIS PALETT DAUGHTH PREPARE THE CUP IF IT BE POISONED TIS THEN THAT SIR SIN THAT MINE I LOVE IT AND DARTH FIRST BEGIN
131,BUT WHY FEARING TIME WHOSE MILLIONED ACCIDENTS CREEP IN TWIXT VOUSE AND CHANGE TO CREESE OF KINGS TANS SACRED BEAUTY BLOND THE SHOPS AND TENTS DIVERT STRONG MINDS TO THE COURSE OF ALTERING THE PRESENT DOUBTING OF THE REST
132,LOVE IS A BABE THEN MY TIME NOT SAY SO TO GIVE FULL GROWTH TO THAT WHICH STEW DAWTH GROW
133,SO I RETURN REBUTE TO MY CONTENT AND GAINED BY ILL THRICE MORE THAN I HAVE SPENT
134,IT WAS THIS OBSERVATION THAT TRUE FROM DUGLAS NOT IMMEDIATELY BUT LATER IN THE EVENING OF REPLY THAT HAD THE INTERESTING CONSEQUENCE TO WHICH I COLLETENTION
135,SOMEONE ELSE TO OLD AS DOOR NUT TICULARLY EFFECTIVE WHICH I SAW HE WAS NOT FOLLOWING
136,CRIED ONE OF THE WOMEN HE TOOK NO NOTICE OF HER HE LOOKED AT ME BUT AS IF INSTEAD OF ME HE SAW WHAT HE SPOKE OF
137,THERE WAS A UNANIMOUS GROWN AT THIS HAND MUCH REPROACH AFTER WHICH IN HIS PREYOCCUPIED WAY HE EXPLAINED
138,THE STORIES WRITTEN
139,THIGH COOL DRIGHT TO MY MAN AND ENCLOSED THE KEY HE COULD SEND DOWN THE PACKET AS HE FINDS IT
140,THE OTHERS RESENTED POSTPONMENT BUT IT WAS JUST AS GROUPLES THE CHARMED ME
141,TO THIS HIS ANSWER WAS PROMPT WHO SANK GOD NO AND IS THE RECOGNO AND IS THE RECOGNORS
142,HE HUNG FIRE AGAIN O WOMANS
143,SHE HAS BEEN DEAD THESE TWENTY YEARS
144,SHE SENT BE THE PAGES IN QUESTION BEFORE SHE DIED
145,SHE WAS THE MOST AGREEABLE WOMAN I'VE EVEN KNOWN IN HER POSITION SHE WOULD HAVE BEEN WORTHY OF ANY WHATEVER
146,COURSE AND SIMPLY THAT YOU SAID SO BUT THAT I KNEW SHE HADN'T I WERE SURE I COULD SEE
147,YOUR LEASILY JUDGE WHY WHEN YOU HERE BECAUSE THE THING HAD BEEN SUCH A SCARE HE CONTINUED TO FIX ME
148,YOU CAW A CUTE
149,HE CRITTED THE FIRE AND DROPPED BACK INTO HIS CHAIR
150,FROBABLY NOT TILL THE SECOND POST
151,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STAY
152,CRY THE LADIES WHOSE DEPARTURE HAD BEEN FIXED
153,MISSUS GRIFFEN HOWEVER EXPRESSED THE NEED FOR LITTLE MORE LIGHT
154,COO WAS IT SHE WAS IN LOVE WITH THE STORY WILL TELL I TOOK UPON MYSELF TO REPLY OH I CONT WEAK TO THE STORY VOSTORY VOSTORY WON'T TELL SAID DUGLESS NOT IN ANY LATURAL VULGARWAY MORE IS THE PITY THAN
155,WHY YOU TELL DOGLESS
156,FOREAL IF I DON'T KNOW WHO SHE WAS IN LOVERITH I KNOW WHO HE WAS
157,LET ME SAY HERE DISTINCTLY TO HAVE DONE WITH IT THAT THIS NARRATIVE FROM AN EXACT TRANSCRIPT OF MY OWN MADE MUCH LATER IS WHAT I SHALL PRESENTLY GIVE
158,POUR DUNKNESS BEFORE HIS DEATH WENT IT WASN'T SIGHT COMMITTED TO ME THE MANUSCRIPT THAT REACHED HIM ON THE THIRD OF THESE DAYS AND THAT ON THE SAME SPOT WITH A MEN SEFFECT HE BEGAN TO READ TO OUR HUSH TO LITTLE CIRCLE ON THE NIGHT OF THE FORTH
159,THE DEPARTING LADIES WHO HAD SAID THEY WOULD STAY DIDN'T OF COURSE THANK HEAVEN STAY THEY DEPARTED IN CONSEQUENCE OF ARRANGEMENTS MADE IN A RAGE OF CURIOSITY AS THEY PROFESSED PRODUCED BY THE TOUCHES WITH WHICH HE HAD ALREADY WORKED HIS UNK
160,THE FIRST OF THESE TOUCHES CONVEYED THAT THE WRITTEN STATEMENT TOOK UP THE TAIL AT A POINT AFTER IT HAD IN A MANNER BEGUN
161,HE HAD FOR HIS OWN TOWN RESIDENCE OF BIG HOW SPILLED WITH THE SPOILS OF TRAVEL AND THE TROPHES OF THE CHASE AND BUT IT WAS TO HIS COUNTRY HOME AND OLD FAMILY PLACE IN ESSEX THAT HE WISHED HER IMMEDIATELY TO PROCEED
162,THE AWKWARD THING WAS THAT THEY HAD PRACTICALLY KNOW OTHER RELATIONS AND THAT HIS OWN AFFAIRS TOOK A BALL HIS TIME
163,THEY WERE PLENTY OF PEOPLE TO HELP BUT OF COURSE THE YOUNG LADY WHO SHOULD GO DOWN AS GOVERNESS WOULD BE IN SUPREME AS ORTY
164,I DON'T ANTICIPATE
165,SHE WAS YOUNG I'M TRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY FOR REALLY GREAT LONELINESS
166,YES BUT THAT'S JUST THE BEAUTY OF HER PASSION
167,IT WAS THE BEAUTY OF IT
168,ITS OUND A DULL THAT SOUND ITS STRANGE AND ALL THE MORSE OR BECAUSE IT IS MAIN CONDITION WHICH WAS
169,SHE PROMISED TO DO THIS AND SHE MENTIONED TO ME THAT WHEN FOR A MOMENT DISPURDENT DELIGHTED HE HELD HER HAND THENKING HER FOR THE SACRIFICE SHE ALREADY FELT HER WARDED
170,BUT WAS THAT ALL HER REWARD ONE OF THE LADY'S ASK
171,HOW STRANGE IT SEEMED TO THE SAD WOMAN AS SHE WATCHED THE GROWTH AND THE BEAUTY THAT BECAME EVERY DAY MORE BRILLIANT AND THE INTELLIGENCE THAT THROUGH ITS QUIVERING SUNSHINE OVER THE TINY FEATURES OF THIS CHILD
172,GOD AS A DIRECT CONSEQUENCE OF THE SIN WHICH MAN THUS PUNISHED HAD GIVEN HER A LOVELY CHILD WHOSE PLACE WAS ON THAT SAME DISHONORED BOSOM TO CONNECT HER PARENT FOR EVER WITH THE RACE AND DESCENT OF MORTALS AND TO BE FINALLY ABLESS TO SOUL IN HEAVEN
173,YET THESE THOUGHTS AFFECTED HUSTOR PRIN LESS WITH HOPE THAN APPREHENSION
